Style,Type,Density,Part_Width,Manufacturer,C_MEM_REG_DIMM,memory_total_data_width,C_MEM_PARTNO,C_MEM_PART_DATA_DEPTH,C_MEM_PART_DATA_WIDTH,C_MEM_PART_NUM_BANK_BITS,C_MEM_PART_NUM_ROW_BITS,C_MEM_PART_NUM_COL_BITS,C_MEM_PART_TRAS,C_MEM_PART_TRASMAX,C_MEM_PART_TRC,C_MEM_PART_TRCD,C_MEM_PART_TDQSS,C_MEM_PART_TWR,C_MEM_PART_TRP,C_MEM_PART_TMRD,C_MEM_PART_TRRD,C_MEM_PART_TRFC,C_MEM_PART_TREFI,C_MEM_PART_TAL,C_MEM_PART_TCCD,C_MEM_PART_TWTR,C_MEM_PART_TRTP,C_MEM_PART_CAS_A_FMAX,C_MEM_PART_CAS_A,C_MEM_PART_CAS_B_FMAX,C_MEM_PART_CAS_B,C_MEM_PART_CAS_C_FMAX,C_MEM_PART_CAS_C,C_MEM_PART_CAS_D_FMAX,C_MEM_PART_CAS_D,C_MEM_CLK_WIDTH,C_MEM_ODT_WIDTH,C_MEM_CE_WIDTH,C_MEM_CS_N_WIDTH,C_MEM_NUM_RANKS
Discrete,DDR2,512Mb,x16,Hynix,0,0,HY5PS121621AFP-S6,32,16,2,13,10,45000,70000000,60000,15000,,15000,15000,2,10000,105000,7800000,0,2,7500,7500,400,6,0,0,0,0,0,0,1,1,1,1,1
Discrete,DDR2,512Mb,x16,Hynix,0,0,HY5PS121621AFP-Y4,32,16,2,13,10,45000,70000000,57000,12000,,15000,12000,2,10000,105000,7800000,0,2,7500,7500,333,4,0,0,0,0,0,0,1,1,1,1,1
Discrete,DDR2,512Mb,x16,Hynix,0,0,HY5PS121621AFP-Y5,32,16,2,13,10,45000,70000000,60000,15000,,15000,15000,2,10000,105000,7800000,0,2,7500,7500,333,5,0,0,0,0,0,0,1,1,1,1,1
Discrete,DDR2,512Mb,x16,Hynix,0,0,HY5PS121621AF-S5,32,16,2,13,10,45000,70000000,57250,12500,,15000,12500,2,10000,105000,7800000,0,2,7500,7500,400,5,0,0,0,0,0,0,1,1,1,1,1
Discrete,DDR2,512Mb,x16,Hynix,0,0,HY5PS121621AF-S6,32,16,2,13,10,45000,70000000,60000,15000,,15000,15000,2,10000,105000,7800000,0,2,7500,7500,400,6,0,0,0,0,0,0,1,1,1,1,1
Discrete,DDR2,512Mb,x16,Hynix,0,0,HY5PS121621AF-Y4,32,16,2,13,10,45000,70000000,57000,12000,,15000,12000,2,10000,105000,7800000,0,2,7500,7500,333,4,0,0,0,0,0,0,1,1,1,1,1
Discrete,DDR2,512Mb,x16,Hynix,0,0,HY5PS121621AF-Y5,32,16,2,13,10,45000,70000000,60000,15000,,15000,15000,2,10000,105000,7800000,0,2,7500,7500,333,5,0,0,0,0,0,0,1,1,1,1,1
Discrete,DDR2,512Mb,x16,Hynix,0,0,HY5PS121621BFP-C4,32,16,2,13,10,45000,70000000,60000,15000,,15000,15000,2,10000,105000,7800000,0,2,7500,7500,266,4,0,0,0,0,0,0,1,1,1,1,1
Discrete,DDR2,512Mb,x16,Hynix,0,0,HY5PS121621BFP-E3,32,16,2,13,10,40000,70000000,55000,15000,,15000,15000,2,10000,105000,7800000,0,2,10000,7500,200,3,0,0,0,0,0,0,1,1,1,1,1
Discrete,DDR2,512Mb,x16,Hynix,0,0,HY5PS121621BFP-S6,32,16,2,13,10,45000,70000000,60000,15000,,15000,15000,2,10000,105000,7800000,0,2,7500,7500,400,6,0,0,0,0,0,0,1,1,1,1,1
